"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033267","CC","GO:0033267","axon part","51/1182","373/20408",1.00965482351944e-08,6.12201969065275e-06,5.29771745869585e-06,"TNFRSF1B/SYT11/KIF21B/NAV1/NFASC/KCNH1/AAK1/KIF5C/SCN1A/CDK5R2/PTPRN/EPHA4/ROBO2/CPLX1/SNCA/PPP1R9A/NPTX2/CDKL5/SYP/OPHN1/NEFL/KIF13B/KCNQ3/DNM1/OLFM1/GRIN1/APBB1/KCNJ11/SYT7/SHANK2/CBL/ANK3/CRTAC1/GOT1/KIF5A/ANG/NDRG2/SERPINF1/DLG4/TRPV2/MBP/KCNQ2/TUBB4A/UNC13A/RAB3A/SPTBN4/PRKCG/BRSK1/RTN4R/INPP5J/SYNJ1",51
"GO:0043235","CC","GO:0043235","receptor complex","53/1182","396/20408",1.0919178996408e-08,6.12201969065275e-06,5.29771745869585e-06,"GABRD/TNFRSF1B/EPHA10/IL12RB2/CD8A/MERTK/ACVR1C/HSPD1/ERBB4/EPHA4/ALCAM/GPR160/NR3C2/LIFR/GHR/ADGRV1/GABRG2/FGFR4/FLT4/EPHA7/MET/GPR37/EPHB6/CRLF2/IL13RA2/VLDLR/CNTFR/IL11RA/SYK/GABBR2/GRIN1/NR1H3/SHANK2/HTR3B/GRIK4/CUBN/GRIN2B/ITGB7/ITGA7/SLITRK5/ITGBL1/GABRG3/CHRNA5/DLG4/CHRNB1/PLXDC1/ITGB3/CD79B/NOTCH3/CRLF1/CPT1C/SHANK1/CACNG7",53
"GO:0061564","BP","GO:0061564","axon development","61/1182","493/20408",1.74604692076037e-08,9.03646437144288e-06,7.81974535929197e-06,"RAP1GAP/ZSWIM5/NFASC/DPYSL5/KIF5C/CHN1/EPHA4/GPC1/SEMA3F/ROBO2/ALCAM/NKX6-1/SPP1/COL25A1/SEMA5A/EMB/MAP1B/FSTL4/CYFIP2/EPHA7/SEMA3C/SEMA3A/CDKL5/XK/OPHN1/NEFL/KIF13B/UNC5D/PTK2/ADGRB1/VLDLR/JAK2/NR4A3/NTNG2/OLFM1/GRIN1/APBB1/SSH3/ANK3/UNC5B/SLIT1/CRTAC1/SEMA4G/KIF5A/SLITRK5/SPTB/LINGO1/DOK4/EFNB3/TRPV2/GRB7/NGFR/AFG3L2/EFNA2/NRTN/RAB3A/SPTBN4/APOE/BRSK1/RTN4R/NCAM2",61
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling","54/1182","419/20408",2.93849591856432e-08,1.38243303557504e-05,1.19629468673971e-05,"RAB3B/SYT11/KCNJ10/EPHA4/CACNA2D2/STXBP5L/P2RY1/BCHE/CPLX1/NSG1/SNCA/SLC7A11/PPP1R9A/NPTX2/SYP/OPHN1/FABP5/CA2/RNF19A/RIMS2/ADGRB1/ARC/JAK2/DNM1/NTNG2/GRIN1/SYT7/SHANK2/GRIK4/IGSF9B/CUBN/NRG3/CPEB3/CLSTN3/GRIN2B/ITPKA/CHRNA5/BAIAP3/RAB26/ABAT/CDH1/CALB2/DLG4/EFNB3/MPP2/PLCB4/UNC13A/RAB3A/APOE/SLC8A2/SHANK1/PRKCG/CACNG7/BRSK1",54
"GO:0097060","CC","GO:0097060","synaptic membrane","55/1182","431/20408",3.08211883674577e-08,1.38243303557504e-05,1.19629468673971e-05,"GABRD/KIAA1107/SYT11/ATP2B4/KCNH1/SLC8A1/ADAM23/ERBB4/EPHA4/ATP2B2/P2RY1/NSG1/PDLIM5/CPE/GABRG2/EPHA7/SYP/FABP5/RIMS2/ADGRB1/ARC/GABBR2/DNM1/NTNG2/GRIN1/APBB1/CHRM4/SYT7/SHANK2/PDE2A/HTR3B/GRIK4/IGSF9B/ANK3/CPEB3/CLSTN3/GRIN2B/CNTN1/ANKS1B/GABRG3/CHRNA5/CPEB1/HOMER2/CALB2/DLG4/CHRNB1/EFNB3/SRCIN1/MPP2/DLGAP1/UNC13A/SHANK1/PRKCG/CACNG7/SYNJ1",55
"GO:0072350","BP","GO:0072350","tricarboxylic acid metabolic process","14/1182","41/20408",3.56925949675835e-08,1.50087361838689e-05,1.29878778135332e-05,"MDH1/SUCLG1/MDH1B/IDH1/GHR/NNT/PDHA1/ASS1/ME3/DLAT/OGDHL/IDH3A/ME2/ACO2",14
"GO:1902495","CC","GO:1902495","transmembrane transporter complex","45/1182","325/20408",5.08171923326853e-08,2.01116511773121e-05,1.74037084081785e-05,"GABRD/CLCNKB/ATP1B1/KCNH1/SCN1A/KCNE4/SCN5A/CACNA2D2/TRPC3/HCN1/GABRG2/PKD1L1/KCNH2/CNGB3/KCNQ3/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/SHANK2/HTR3B/GRIK4/SCN3B/CUBN/GRIN2B/ATP12A/GABRG3/CHRNA5/KCNG4/DLG4/CHRNB1/ATP1B2/TTYH2/KCNQ2/HCN2/ABCA7/KCNN1/RYR1/ATP1A3/TRPM4/CPT1C/SHANK1/CACNG7/TTYH1",45
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","53/1182","418/20408",6.78756890079285e-08,2.5370424202519e-05,2.19544114563072e-05,"RAB3B/SYT11/KCNJ10/EPHA4/CACNA2D2/STXBP5L/P2RY1/BCHE/CPLX1/NSG1/SNCA/SLC7A11/PPP1R9A/NPTX2/SYP/OPHN1/CA2/RNF19A/RIMS2/ADGRB1/ARC/JAK2/DNM1/NTNG2/GRIN1/SYT7/SHANK2/GRIK4/IGSF9B/CUBN/NRG3/CPEB3/CLSTN3/GRIN2B/ITPKA/CHRNA5/BAIAP3/RAB26/ABAT/CDH1/CALB2/DLG4/EFNB3/MPP2/PLCB4/UNC13A/RAB3A/APOE/SLC8A2/SHANK1/PRKCG/CACNG7/BRSK1",53
"GO:0006101","BP","GO:0006101","citrate metabolic process","13/1182","37/20408",7.46350399095904e-08,2.64286604479855e-05,2.28701609828224e-05,"MDH1/SUCLG1/MDH1B/IDH1/GHR/NNT/PDHA1/ME3/DLAT/OGDHL/IDH3A/ME2/ACO2",13
"GO:0022839","MF","GO:0022839","ion gated channel activity","46/1182","342/20408",8.73568676101872e-08,2.9386850264067e-05,2.54300439343129e-05,"GABRD/CLCNKB/KCNJ10/KCNH1/SCN1A/KCNE4/ANO7/SCN5A/CACNA2D2/HCN1/KCNN2/GABRG2/KCNH2/CLCN4/VDAC3/JPH1/CNGB3/NCALD/KCNQ3/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/ANO5/HTR3B/GRIK4/SCN3B/GRIN2B/ANO4/GAS6/KCNK13/GABRG3/CHRNA5/KCNG4/DLG4/CHRNB1/TTYH2/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/SLC17A7/CACNG7/TTYH1",46
"GO:1990351","CC","GO:1990351","transporter complex","45/1182","333/20408",1.04884176409407e-07,3.36028923277376e-05,2.90784150235805e-05,"GABRD/CLCNKB/ATP1B1/KCNH1/SCN1A/KCNE4/SCN5A/CACNA2D2/TRPC3/HCN1/GABRG2/PKD1L1/KCNH2/CNGB3/KCNQ3/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/SHANK2/HTR3B/GRIK4/SCN3B/CUBN/GRIN2B/ATP12A/GABRG3/CHRNA5/KCNG4/DLG4/CHRNB1/ATP1B2/TTYH2/KCNQ2/HCN2/ABCA7/KCNN1/RYR1/ATP1A3/TRPM4/CPT1C/SHANK1/CACNG7/TTYH1",45
"GO:0043492","MF","GO:0043492","ATPase activity, coupled to movement of substances","25/1182","132/20408",1.36281771816488e-07,4.16774436718787e-05,3.60657645893299e-05,"ATP1B1/ATP2B4/ATP2B2/ATP8A1/ATP10D/ABCB4/ABCB1/ATP6V0A4/ABCD1/ATP6V1H/ATP6V0D2/ABCA1/TCIRG1/ABCG4/ATP12A/ATP8B4/ABCA3/ATP2C2/ATP2A3/ATP1B2/ABCA8/ABCA9/ABCA7/ATP8B3/ATP1A3",25
"GO:0006099","BP","GO:0006099","tricarboxylic acid cycle","12/1182","33/20408",1.53548535776049e-07,4.49162847261415e-05,3.88685103605183e-05,"MDH1/SUCLG1/MDH1B/IDH1/NNT/PDHA1/ME3/DLAT/OGDHL/IDH3A/ME2/ACO2",12
"GO:0050808","BP","GO:0050808","synapse organization","49/1182","384/20408",1.73936149530776e-07,4.87601005851274e-05,4.21947738181895e-05,"NFASC/ADD2/ERBB4/EPHA4/DNER/CAMKV/SEMA3F/CACNA2D2/ROBO2/SNCA/PDLIM5/SLC7A11/CTNND2/SNCB/ADGRB3/EPHA7/ELFN1/PCLO/PPP1R9A/CDKL5/OPHN1/RAB39B/NEFL/PTK2/ADGRB1/ARC/ARHGAP39/NTNG2/GRIN1/NRXN2/SHANK2/IGSF9B/ANK3/ZNF365/SLIT1/CLSTN3/GRIN2B/SLITRK5/ITPKA/CDH1/DLG4/CHRNB1/SRCIN1/SDK2/AFG3L2/UNC13A/RAB3A/APOE/SHANK1",49
"GO:0044304","CC","GO:0044304","main axon","17/1182","68/20408",2.2356565699554e-07,6.01659896106396e-05,5.20649115302033e-05,"TNFRSF1B/NAV1/NFASC/KCNH1/SCN1A/ROBO2/KIF13B/KCNQ3/DNM1/APBB1/KCNJ11/ANK3/DLG4/MBP/KCNQ2/TUBB4A/SPTBN4",17
"GO:0010975","BP","GO:0010975","regulation of neuron projection development","56/1182","478/20408",4.17373451307902e-07,0.000108003406938445,9.34612372139274e-05,"ZSWIM5/CCDC88A/CHN1/EPHA4/CPNE9/SEMA3F/ROBO2/NKX6-1/SPP1/PDLIM5/SEMA5A/MAP1B/FSTL4/KIAA0319/ADGRB3/EPHA7/SEMA3C/SEMA3A/PPP1R9A/CDKL5/XK/NEFL/KIF13B/RIMS2/PTK2/ARC/VLDLR/OLFM1/GRIN1/APBB1/SSH3/SHANK2/ZNF365/CPEB3/SEMA4G/CNTN1/RASAL1/PRKD1/ITPKA/LINGO1/SYT17/SERPINF1/RAP1GAP2/DLG4/EFNB3/TRPV2/SRCIN1/NGFR/SS18L1/UNC13A/APOE/SHANK1/CACNG7/BRSK1/RTN4R/INPP5J",56
"GO:0050770","BP","GO:0050770","regulation of axonogenesis","29/1182","180/20408",5.26090246133831e-07,0.000131093895406978,0.000113442695959697,"ZSWIM5/CHN1/EPHA4/SEMA3F/ROBO2/NKX6-1/SPP1/SEMA5A/MAP1B/FSTL4/EPHA7/SEMA3C/SEMA3A/CDKL5/XK/NEFL/KIF13B/PTK2/OLFM1/GRIN1/SSH3/SEMA4G/LINGO1/EFNB3/TRPV2/NGFR/APOE/BRSK1/RTN4R",29
"GO:0098793","CC","GO:0098793","presynapse","56/1182","482/20408",5.46951981940437e-07,0.000131424747660545,0.000113729000455359,"RAB3B/KIAA1107/SYT11/KCNJ10/ATP2B4/KCNH1/AAK1/SLC40A1/ADAM23/ERBB4/PTPRN/EPHA4/ATP2B2/RAB6B/P2RY1/CPLX1/WFS1/SNCA/SNCB/ICA1/PCLO/SYP/OPHN1/NEFL/RIMS2/DNM1/NTNG2/GRIN1/CACNA1B/APBB1/SYT13/SYT7/NRXN2/SLC29A2/PDE2A/GRIK4/GOT1/CNTN1/BAIAP3/SYNGR3/RAB26/SYT17/DOC2A/CALB2/DLG4/SLC2A4/EFNB3/SYNGR2/UNC13A/RAB3A/SLC17A7/PRKCG/SYT5/BRSK1/RTN4R/SYNJ1",56
"GO:0005516","MF","GO:0005516","calmodulin binding","30/1182","192/20408",6.60664942019486e-07,0.000149847200245256,0.000129670953213047,"ATP2B4/KCNH1/SLC8A1/ADD2/ATP2B2/SCN5A/CAMKV/WFS1/MYO10/KCNN2/PHKA1/KCNQ3/GRIN1/KCNQ1/SYT7/MYO7A/MYO3A/ITPKA/MYO15A/NOS2/NGFR/SPHK1/MBP/KCNQ2/CAMSAP3/UNC13A/KCNN1/RYR1/SLC8A2/TRPM4",30
"GO:0030506","MF","GO:0030506","ankyrin binding","9/1182","20/20408",6.6816528052284e-07,0.000149847200245256,0.000129670953213047,"PTPRC/SLC8A1/SCN5A/KCNJ11/SPTB/RHCG/CDH1/KCNQ2/SPTBN4",9
"GO:0042626","MF","GO:0042626","ATPase activity, coupled to transmembrane movement of substances","22/1182","116/20408",7.39612334053255e-07,0.000160519734951945,0.000138906479444773,"ATP1B1/ATP2B4/ATP2B2/ATP8A1/ABCB4/ABCB1/ATP6V0A4/ABCD1/ATP6V1H/ATP6V0D2/ABCA1/TCIRG1/ABCG4/ATP12A/ABCA3/ATP2C2/ATP2A3/ATP1B2/ABCA8/ABCA9/ABCA7/ATP1A3",22
"GO:0022804","MF","GO:0022804","active transmembrane transporter activity","44/1182","348/20408",9.433051944545e-07,0.000198329917134059,0.000171625691793679,"ATP1B1/ATP2B4/SLC8A1/ATP2B2/ATP8A1/SLC4A4/SLC7A11/SLC25A4/SLC12A7/SLC45A2/SLC2A12/ABCB4/ABCB1/ATP6V0A4/CLCN4/ABCD1/ATP6V1H/ATP6V0D2/MFSD3/SLC1A1/ABCA1/SLC2A6/SLC22A18/TCIRG1/SLC36A4/ABCG4/SLC37A2/SLC2A13/SLC4A8/SLC16A7/ATP12A/ABCA3/ATP2C2/ATP2A3/ATP1B2/ABCA8/ABCA9/ABCA7/ATP1A3/SLC8A2/SLC6A16/SLC17A7/SLC5A1/SLC5A4",44
"GO:0022604","BP","GO:0022604","regulation of cell morphogenesis","54/1182","474/20408",1.59482658834924e-06,0.000325151311709506,0.000281371159813705,"FBLIM1/ZSWIM5/CHN1/VIL1/EPHA4/CPNE9/SEMA3F/ROBO2/P2RY1/NKX6-1/SPP1/PDLIM5/SEMA5A/MYO10/MAP1B/FSTL4/ADGRB3/EPHA7/SEMA3C/SEMA3A/PPP1R9A/CDKL5/XK/NEFL/KIF13B/RIMS2/HAS2/PTK2/ARC/FGD3/OLFM1/GRIN1/SSH3/ARAP1/SEMA4G/ITGA7/RASAL1/ITPKA/LINGO1/SYT17/DLG4/EFNB3/TRPV2/SRCIN1/FMNL1/NGFR/SLC9A3R1/UNC13D/SS18L1/UNC13A/APOE/CACNG7/BRSK1/RTN4R",54
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","36/1182","267/20408",2.04019408977614e-06,0.000403718406941584,0.000349359551410273,"PGM1/MDH1/SUCLG1/FASTKD1/SLC25A12/NDUFB3/NDUFS1/MDH1B/FASTKD2/IDH1/UQCRC1/PPARGC1A/SNCA/ETFDH/NNT/PDHA1/PHKA1/RB1CC1/UQCRB/NDUFB9/CYC1/NR4A3/IGF2/ME3/DLAT/OGDHL/AIFM2/GPD1/COQ10A/IDH3A/COX10/NOS2/ME2/NDUFA3/ACO2/ND1",36
"GO:0034702","CC","GO:0034702","ion channel complex","39/1182","301/20408",2.11484203285479e-06,0.000406377801553105,0.000351660870578607,"GABRD/CLCNKB/KCNH1/SCN1A/KCNE4/SCN5A/CACNA2D2/TRPC3/HCN1/GABRG2/PKD1L1/KCNH2/KCNQ3/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/SHANK2/HTR3B/GRIK4/SCN3B/CUBN/GRIN2B/GABRG3/CHRNA5/KCNG4/DLG4/CHRNB1/TTYH2/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/CPT1C/SHANK1/CACNG7/TTYH1",39
"GO:0098739","BP","GO:0098739","import across plasma membrane","20/1182","105/20408",2.17443532341138e-06,0.000406377801553105,0.000351660870578607,"KCNJ10/ATP1B1/ATP2B4/SLC8A1/SLC39A8/SLC7A11/SLC12A7/SLC7A2/SLC39A14/SLC39A4/SLC1A1/SLC31A1/KCNJ11/SLC36A4/ATP12A/ATP1B2/SLC39A6/HCN2/ATP1A3/TRPM4",20
"GO:0015405","MF","GO:0015405","P-P-bond-hydrolysis-driven transmembrane transporter activity","22/1182","124/20408",2.38274945084244e-06,0.000433274008250486,0.000374935624825308,"ATP1B1/ATP2B4/ATP2B2/ATP8A1/ABCB4/ABCB1/ATP6V0A4/ABCD1/ATP6V1H/ATP6V0D2/ABCA1/TCIRG1/ABCG4/ATP12A/ABCA3/ATP2C2/ATP2A3/ATP1B2/ABCA8/ABCA9/ABCA7/ATP1A3",22
"GO:0099003","BP","GO:0099003","vesicle-mediated transport in synapse","30/1182","205/20408",2.67516338292566e-06,0.000467644796810289,0.0004046785423302,"KIAA1107/SYT11/KIF5C/STXBP5L/P2RY1/CPLX1/NSG1/SNCA/SNCB/PCLO/SYP/OPHN1/RIMS2/ARC/DNM1/SYT13/SYT7/KIF5A/RAB27A/CHRNA5/SYT17/DOC2A/SLC2A4/ITGB3/UNC13A/RAB3A/SLC17A7/PRKCG/SYT5/SYNJ1",30
"GO:0015399","MF","GO:0015399","primary active transmembrane transporter activity","22/1182","125/20408",2.73580642979217e-06,0.000467644796810289,0.0004046785423302,"ATP1B1/ATP2B4/ATP2B2/ATP8A1/ABCB4/ABCB1/ATP6V0A4/ABCD1/ATP6V1H/ATP6V0D2/ABCA1/TCIRG1/ABCG4/ATP12A/ABCA3/ATP2C2/ATP2A3/ATP1B2/ABCA8/ABCA9/ABCA7/ATP1A3",22
"GO:0010769","BP","GO:0010769","regulation of cell morphogenesis involved in differentiation","38/1182","293/20408",2.78029011183287e-06,0.000467644796810289,0.0004046785423302,"ZSWIM5/CHN1/EPHA4/SEMA3F/ROBO2/NKX6-1/SPP1/PDLIM5/SEMA5A/MAP1B/FSTL4/ADGRB3/EPHA7/SEMA3C/SEMA3A/PPP1R9A/CDKL5/XK/NEFL/KIF13B/HAS2/PTK2/ARC/OLFM1/GRIN1/SSH3/SEMA4G/ITPKA/LINGO1/EFNB3/TRPV2/SRCIN1/NGFR/UNC13D/SS18L1/APOE/BRSK1/RTN4R",38
"GO:0045211","CC","GO:0045211","postsynaptic membrane","40/1182","322/20408",4.50509371498262e-06,0.000739274890595197,0.000639734873878533,"GABRD/KCNH1/SLC8A1/ERBB4/EPHA4/ATP2B2/P2RY1/NSG1/PDLIM5/GABRG2/EPHA7/FABP5/ADGRB1/ARC/GABBR2/DNM1/GRIN1/APBB1/CHRM4/SHANK2/HTR3B/GRIK4/IGSF9B/ANK3/CPEB3/CLSTN3/GRIN2B/CNTN1/ANKS1B/GABRG3/CHRNA5/CPEB1/HOMER2/DLG4/CHRNB1/EFNB3/SRCIN1/DLGAP1/SHANK1/CACNG7",40
"GO:0050806","BP","GO:0050806","positive regulation of synaptic transmission","25/1182","159/20408",4.91616667047515e-06,0.000787523079975162,0.000681486663017495,"RAB3B/EPHA4/NSG1/SNCA/PPP1R9A/CA2/RIMS2/ARC/GRIN1/SYT7/SHANK2/IGSF9B/CUBN/CLSTN3/GRIN2B/BAIAP3/ABAT/CALB2/DLG4/MPP2/UNC13A/APOE/SLC8A2/SHANK1/CACNG7",25
"GO:0061337","BP","GO:0061337","cardiac conduction","20/1182","111/20408",5.30331143391605e-06,0.000829783240171795,0.000718056683989955,"ATP1B1/ATP2B4/SLC8A1/KCNE4/ATP2B2/SCN5A/KCNN2/KCNH2/KCNQ1/STIM1/SCN3B/PKP2/ATP2A3/ATP1B2/DSG2/RYR1/SPTBN4/ATP1A3/SLC8A2/TRPM4",20
"GO:0031594","CC","GO:0031594","neuromuscular junction","16/1182","76/20408",5.81058345537723e-06,0.000888491033813137,0.000768859739035681,"DES/EPHA4/STXBP5L/EPHA7/PPP1R9A/SYP/NEFL/ANK3/CIB2/SYNGR3/DLG4/CHRNB1/PRKAR1A/SYNGR2/EFNA2/UNC13A",16
