TimePoint(hpf),ClusterID,ClusterName
14,78,14hpf-differentiating neurons
18,79,18hpf-neural - diencephalon 
18,80,18hpf-neural - midbrain
18,81,18hpf-epidermal - olfactory placode
18,82,18hpf-neural - telencephalon
18,83,18hpf-neural - dorsal hindbrain
18,84,18hpf-differentiating neurons
18,85,18hpf-ionocyte - ca2
18,86,18hpf-epidermal - anterior
18,87,18hpf-hatching gland
18,88,18hpf-epidermal - sox4b
18,89,18hpf-optic cup
18,90,18hpf-tailbud - spinal cord
18,91,18hpf-pectoral fin field
18,92,18hpf-heart field
18,93,18hpf-lens placode
18,94,18hpf-neural crest - grem2
18,95,18hpf-erythroid
18,96,18hpf-macrophage
18,97,18hpf-tailbud - PSM
18,98,18hpf-myotome
18,99,18hpf-notocord
18,100,18hpf-endothelial
18,101,18hpf-otic placode
18,102,18hpf-neural - hindbrain ventral nkx6.2
18,103,18hpf-germline
18,104,18hpf-epiphysis
18,105,18hpf-pronephric duct - posterior
18,106,18hpf-neural -  floorplate
18,107,18hpf-heart mature
18,108,18hpf-macrophage - ly75
18,109,18hpf-pronephric duct
18,110,18hpf-periderm
18,111,18hpf-pancreas primordium
18,112,18hpf-differentiating neurons - rohon beard
18,113,18hpf-retina pigmented epithelium
18,114,18hpf-differentiating neurons - dlx
18,115,18hpf-epidermal - pfn1
18,116,18hpf-lateral line primordium
18,117,18hpf-endoderm
18,118,18hpf-neural - midbrain ventral nkx6.2
18,119,18hpf-pharyngeal arch
18,120,18hpf-neural crest - crestin
18,121,18hpf-differentiating neurons - phox2a
18,122,18hpf-differentiating neurons - eomesa
18,123,18hpf-neural - ventral hindbrain
24,124,24hpf-differentiating neurons - hmx
24,125,24hpf-differentiating neurons - dlx
24,126,24hpf-epidermal - prr15la
24,127,24hpf-pancreas primordium
24,128,24hpf-ionocyte - ca2
24,129,24hpf-leukocyte
24,130,24hpf-neural - ventral hindbrain
24,131,24hpf-erythroid
24,132,24hpf-differentiating neurons - phox2a
24,133,24hpf-mesoderm - emp2
24,134,24hpf-differentiating neurons
24,135,24hpf-muscle - myl1
24,136,24hpf-neural - midbrain
24,137,24hpf-neural - dorsal spinal cord
24,138,24hpf-neural - diencephalon 
24,139,24hpf-neural crest
24,140,24hpf-optic cup
24,141,24hpf-periderm
24,142,24hpf-tailbud - spinal cord
24,143,24hpf-pectoral fin bud
24,144,24hpf-macrophage
24,145,24hpf-epidermal - grhl3
24,146,24hpf-epidermal - olfactory placode
24,147,24hpf-neural - dorsal hindbrain
24,148,24hpf-otic placode
24,149,24hpf-endoderm
24,150,24hpf-myotome
24,151,24hpf-pharyngeal pouch
24,152,24hpf-epidermal - anterior
24,153,24hpf-tailbud - PSM
24,154,24hpf-pharyngeal arch - tbx1
24,155,24hpf-endothelial
24,156,24hpf-hatching gland
24,157,24hpf-differentiating neurons - eomesa
24,158,24hpf-pharyngeal arch - cd248b
24,159,24hpf-lens
24,160,24hpf-neural - floorplate
24,161,24hpf-endothelial - posterior
24,162,24hpf-neural - floorplate posterior
24,163,24hpf-differentiating neurons - sst1.1
24,164,24hpf-epidermal - atp1a1a.2
24,165,24hpf-neural - hindbrain roofplate
24,166,24hpf-differentiating neurons - rohon beard
24,167,24hpf-retina pigmented epithelium
24,168,24hpf-neural - telencephalon
24,169,24hpf-neural - midbrain ventral nkx6.2
24,170,24hpf-neural - hindbrain gsx1
24,171,24hpf-neural - posterior ventral nkx6.2
24,172,24hpf-germline
24,173,24hpf-notocord
24,174,24hpf-heart
24,175,24hpf-heart - mature
24,176,24hpf-muscle - myl10
24,177,24hpf-neural - diencephalon posterior
24,178,24hpf-pharyngeal arch - ndnf
24,179,24hpf-heart - hoxd9a
24,180,24hpf-epidermal - muc5ac
24,181,24hpf-pharyngeal arch - lbx1a
24,182,24hpf-neural crest - xanthophore
24,183,24hpf-neural crest - melanoblast
24,184,24hpf-neural crest - iridoblast
24,185,24hpf-neural crest - grem2
24,186,24hpf-neural crest - mcamb
24,187,24hpf-pronephric duct
24,188,24hpf-proctodeum
24,189,24hpf-epidermal - s100a11
24,190,24hpf-lateral line - krt15
24,191,24hpf-epidermal - and1
24,192,24hpf-epidermal - acbd7
24,193,24hpf-epidermal - rbp4
24,194,24hpf-epidermal - col7a1l
24,195,24hpf-epidermal - kera
